Data File,Model,EB,CTX,PDT,Success,Error Message,csv_size,bin_size,compressed_size,sz3_size,zstd_size,is_accurate,compression_time_sz3,compression_time_zstd,compression_time_debug,decompression_time,zstd_error_size,df_entropy,df_min,df_max,df_mean,df_variance,error_entropy,error_min,error_max,error_mean,error_variance,mean_absolute_error,mean_squared_error,RRMSE,RMSE,RMAE
smart,1,0.1,256,1,True,,267583,103676,12342,11406,17540,skipped,0.09852814674377441,0.1293189525604248,326.337039232254,0,12180,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6350665717138027,-6.7,6.9,0.08422631,0.2141143,0.7211686,0.8839847,0.58407944,0.3411488,0.56563777
smart,2,0.1,256,1,True,,267583,103676,12177,11406,17540,skipped,0.03526139259338379,0.13704490661621094,418.1071426868439,0,12071,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.6135088666827406,-6.7,6.9,0.08665004,0.2091052,0.71878105,0.88282937,0.57798135,0.33406243,0.5628075
smart,3,0.1,256,1,True,,267583,103676,12239,11406,17540,skipped,0.05998659133911133,0.09486770629882812,747.4373116493225,0,12033,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,2.5951063111247286,-7.1,6.9,0.08590188,0.19861352,0.7194887,0.88497156,0.5636338,0.31768304,0.55845726
smart,1,0.01,256,1,True,,267583,103676,25610,23247,35125,skipped,0.0772712230682373,0.07672381401062012,314.7846522331238,0,27385,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.842176622832368,-6.91,6.95,0.091762066,0.21002471,0.71348447,0.8674761,0.5804197,0.33688703,0.5441103
smart,2,0.01,256,1,True,,267583,103676,25555,23247,35125,skipped,0.0742640495300293,0.06744146347045898,412.8709442615509,0,27314,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.823220626758634,-6.71,7.17,0.09168492,0.21067043,0.7135617,0.876058,0.5812582,0.3378611,0.54172784
smart,3,0.01,256,1,True,,267583,103676,25494,23247,35125,skipped,0.040502071380615234,0.04595303535461426,741.8170819282532,0,27179,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,5.790256474116451,-6.71,7.73,0.08886218,0.19621813,0.71638435,0.8711183,0.5610586,0.31478673,0.5341472
smart,1,0.001,256,1,True,,267583,103676,37535,44099,53154,skipped,0.04410552978515625,0.03870534896850586,317.9008514881134,0,44681,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,9.094022045369906,-6.719,6.949,0.09237148,0.21195452,0.7128752,0.8624392,0.5831263,0.34003627,0.5438815
smart,2,0.001,256,1,True,,267583,103676,37384,44099,53154,skipped,0.05607962608337402,0.037224531173706055,410.9851264953613,0,44666,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,9.075622160477048,-7.083,8.601,0.09195243,0.2137964,0.71329415,0.8723498,0.5854551,0.34275773,0.5416102
smart,3,0.001,256,1,True,,267583,103676,37393,44099,53154,skipped,0.07768607139587402,0.06005358695983887,741.8855848312378,0,44368,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,9.039429198384596,-6.365,6.937,0.08785952,0.19319199,0.717387,0.87728566,0.5566386,0.30984652,0.53343433
smart,1,0.0001,256,1,True,,267583,103676,45793,92776,72227,skipped,0.04972696304321289,0.033182621002197266,311.3381931781769,0,62016,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,12.094543420851675,-6.9159,6.9481,0.09231501,0.21166754,0.7129316,0.8627855,0.58273286,0.33957762,0.5438998
smart,2,0.0001,256,1,True,,267583,103676,45768,92776,72227,skipped,0.05275106430053711,0.032016754150390625,403.6576232910156,0,62014,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,12.083705058712367,-7.0839,8.5953,0.09209432,0.21585494,0.7131522,0.87236905,0.5881945,0.34597275,0.541862
smart,3,0.0001,256,1,True,,267583,103676,45715,92776,72227,skipped,0.06059527397155762,0.051126718521118164,740.4579002857208,0,61771,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,12.048688563511805,-6.5151,6.9379,0.08810548,0.19314508,0.7171411,0.87557924,0.55663353,0.30984086,0.53311706
smart,1,1e-05,256,1,True,,267583,103676,54807,92776,86154,skipped,0.10761761665344238,0.032714128494262695,318.22205233573914,0,85213,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.066461518546339,-6.91583,6.94803,0.09222603,0.2099065,0.71302056,0.8630442,0.5803761,0.33683643,0.5436433
smart,2,1e-05,256,1,True,,267583,103676,54768,92776,86154,skipped,0.08940362930297852,0.044654130935668945,410.9750838279724,0,85148,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.06068972526786,-7.08387,8.59533,0.092028394,0.21599355,0.7132181,0.87301505,0.5883602,0.34616774,0.5418639
smart,3,1e-05,256,1,True,,267583,103676,54663,92776,86154,skipped,0.06413984298706055,0.03441190719604492,741.1138823032379,0,85035,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.053623929926493,-6.51493,6.93787,0.088190906,0.19324225,0.71705556,0.8740337,0.556789,0.31001398,0.53322476
smart,1,1e-06,256,1,True,,267583,103676,77028,92776,92640,skipped,0.08933758735656738,0.020477294921875,318.57918334007263,0,95422,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.582645454297403,-6.915835,6.948035,0.092392854,0.21133962,0.7128536,0.86221683,0.5823179,0.3390941,0.54384893
smart,2,1e-06,256,1,True,,267583,103676,76311,92776,92640,skipped,0.08504414558410645,0.0238339900970459,411.67985796928406,0,95343,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.574656538348036,-7.083865,8.595325,0.092016414,0.21601781,0.71323013,0.8729348,0.58838916,0.34620178,0.5418461
smart,3,1e-06,256,1,True,,267583,103676,75806,92776,92640,skipped,0.0652766227722168,0.02140522003173828,747.4900727272034,0,95410,14.643661416482082,0.0008,9.580184,0.80524653,0.47808647,14.579663366271337,-6.514917,6.937875,0.08817298,0.1931954,0.7170735,0.8739983,0.5567198,0.30993688,0.5332148
